,precision,recall,f1-score,support
0,0.8527918781725888,0.6347607052896725,0.7277978339350181,2382.0
1,0.7673174645627173,0.9166134185303514,0.835347212112389,3130.0
accuracy,0.7948113207547169,0.7948113207547169,0.7948113207547169,0.7948113207547169
macro avg,0.8100546713676531,0.775687061910012,0.7815725230237036,5512.0
weighted avg,0.8042550649289572,0.7948113207547169,0.7888699590611378,5512.0
