,precision,recall,f1-score,support
0,0.6919770773638968,0.706140350877193,0.6989869753979738,684.0
1,0.7694954128440367,0.7573363431151241,0.7633674630261661,886.0
accuracy,0.7350318471337579,0.7350318471337579,0.7350318471337579,0.7350318471337579
macro avg,0.7307362451039667,0.7317383469961585,0.73117721921207,1570.0
weighted avg,0.7357230934374025,0.7350318471337579,0.7353188938938836,1570.0
