,precision,recall,f1-score,support
0,0.9438775510204082,1.0,0.9711286089238845,740.0
1,0.0,0.0,0.0,44.0
accuracy,0.9438775510204082,0.9438775510204082,0.9438775510204082,0.9438775510204082
macro avg,0.4719387755102041,0.5,0.48556430446194226,784.0
weighted avg,0.8909048313202832,0.9438775510204082,0.9166264931169318,784.0
