,precision,recall,f1-score,support
0,0.7563559322033898,0.5219298245614035,0.6176470588235293,684.0
1,0.7021857923497268,0.8702031602708804,0.777217741935484,886.0
accuracy,0.7184713375796178,0.7184713375796178,0.7184713375796178,0.7184713375796178
macro avg,0.7292708622765582,0.6960664924161419,0.6974324003795067,1570.0
weighted avg,0.7257860316235518,0.7184713375796178,0.7076977755351165,1570.0
