,precision,recall,f1-score,support
0,0.7279279279279279,0.5906432748538012,0.6521388216303471,684.0
1,0.7241379310344828,0.8295711060948081,0.7732772225144662,886.0
accuracy,0.7254777070063694,0.7254777070063694,0.7254777070063694,0.7254777070063694
macro avg,0.7260329294812053,0.7101071904743046,0.7127080220724067,1570.0
weighted avg,0.7257891143944295,0.7254777070063694,0.7205010020018945,1570.0
