,precision,recall,f1-score,support
0,0.7306955966815571,1.0,0.8443952802359882,1145.0
1,0.0,0.0,0.0,422.0
accuracy,0.7306955966815571,0.7306955966815571,0.7306955966815571,0.7306955966815571
macro avg,0.3653477983407786,0.5,0.4221976401179941,1567.0
weighted avg,0.5339160550098168,0.7306955966815571,0.616995913127126,1567.0
