,precision,recall,f1-score,support
0,0.5560391730141458,0.7470760233918129,0.6375545851528385,684.0
1,0.7342549923195084,0.5395033860045146,0.6219908913467793,886.0
accuracy,0.629936305732484,0.629936305732484,0.629936305732484,0.629936305732484
macro avg,0.6451470826668271,0.6432897046981638,0.6297727382498088,1570.0
weighted avg,0.6566119219979364,0.629936305732484,0.6287715069922216,1570.0
